AnnotatorID,NumTweetsAnnotated,NumAnnotations,HateSpeech_Count,Offensive_Count,Neutral_Count,Ethnicity,Age,Education,Party,EnglishFirst
212,50,50,18,11,21,White,46.0,4.0,1.0,1.0
213,50,50,22,16,12,White,30.0,5.0,2.0,1.0
214,50,50,14,19,17,White,31.0,2.0,3.0,1.0
215,50,50,19,12,19,White,64.0,4.0,2.0,1.0
216,50,50,11,20,19,Afr american,28.0,4.0,2.0,1.0
218,50,50,12,21,17,White,29.0,4.0,2.0,1.0
219,50,50,22,10,18,Hispanic,18.0,3.0,2.0,1.0
220,50,50,5,9,36,White,34.0,4.0,3.0,1.0
221,50,50,17,8,25,White,40.0,4.0,3.0,1.0
222,50,50,7,29,14,White,38.0,4.0,3.0,1.0
223,50,50,15,21,14,White,22.0,4.0,2.0,1.0
224,50,50,12,15,23,White,38.0,4.0,1.0,1.0
225,50,50,4,11,35,White,32.0,2.0,2.0,1.0
226,50,50,11,20,19,White,48.0,5.0,3.0,1.0
227,50,50,15,6,29,White,36.0,5.0,2.0,1.0
228,50,50,15,16,19,Asian,31.0,2.0,2.0,1.0
229,50,50,12,17,21,White,33.0,4.0,3.0,1.0
230,50,50,13,11,26,White,43.0,4.0,3.0,1.0
231,50,50,11,25,14,White,50.0,3.0,1.0,1.0
232,50,50,27,12,11,Afr american,24.0,2.0,3.0,1.0
233,50,50,15,17,18,White,62.0,4.0,1.0,1.0
234,50,50,20,15,15,White,49.0,4.0,2.0,1.0
235,50,50,14,15,21,White,41.0,4.0,2.0,1.0
236,50,50,7,26,17,White,66.0,4.0,1.0,1.0
237,50,50,3,26,21,White,30.0,3.0,2.0,1.0
238,50,50,15,18,17,White,20.0,3.0,3.0,1.0
239,50,50,17,14,19,Hispanic,30.0,2.0,2.0,1.0
240,50,50,17,10,23,White,39.0,4.0,3.0,1.0
241,50,50,15,17,18,White,28.0,4.0,2.0,1.0
242,18,18,10,2,6,Prefer not to say,,,,
243,50,50,30,8,12,White,31.0,5.0,3.0,1.0
244,50,50,15,14,21,White,49.0,3.0,2.0,1.0
245,50,50,14,15,21,White,35.0,4.0,2.0,1.0
246,29,29,7,16,6,Prefer not to say,,,,
247,50,50,6,28,16,White,33.0,4.0,2.0,1.0
248,50,50,16,16,18,White,66.0,4.0,2.0,1.0
249,50,50,7,20,23,White,59.0,3.0,1.0,1.0
250,50,50,22,12,16,White,32.0,5.0,1.0,1.0
251,50,50,13,19,18,White,44.0,5.0,2.0,1.0
252,50,50,9,15,26,White,81.0,5.0,3.0,1.0
253,50,50,20,13,17,White,33.0,3.0,3.0,1.0
254,50,50,7,11,32,White,53.0,3.0,2.0,1.0
255,50,50,15,6,29,White,29.0,2.0,2.0,1.0
256,50,50,15,17,18,Hispanic,29.0,5.0,2.0,1.0
257,50,50,5,2,43,Afr american,40.0,2.0,1.0,1.0
258,50,50,8,24,18,White,65.0,6.0,2.0,1.0
259,50,50,20,15,15,White,26.0,2.0,2.0,1.0
260,50,50,9,6,35,White,42.0,4.0,2.0,1.0
261,50,50,8,5,37,Hispanic,27.0,4.0,3.0,1.0
262,50,50,21,2,27,White,31.0,5.0,1.0,1.0
263,50,50,14,18,18,White,39.0,4.0,1.0,1.0
264,50,50,0,0,50,White,45.0,3.0,1.0,1.0
